         179254 function calls (179197 primitive calls) in 0.879 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      384    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:189(handle_data)
      340    0.000    0.000    0.001    0.000 /usr/lib/python3.8/_collections_abc.py:742(__iter__)
      326    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:670(__getitem__)
      326    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:748(encode)
      320    0.000    0.000    0.000    0.000 /usr/lib/python3.8/os.py:693(__iter__)
      244    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
      244    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      244    0.000    0.000    0.000    0.000 {built-in method unicodedata.category}
      244    0.000    0.000    0.000    0.000 {built-in method unicodedata.normalize}
      244    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:53(valid_label_length)
      244    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/idna/core.py:67(check_bidi)
      244    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:127(check_initial_combiner)
      244    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:134(check_hyphen_ok)
      244    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:143(check_nfc)
      244    0.001    0.000    0.005    0.000 /usr/lib/python3/dist-packages/idna/core.py:234(check_label)
      244    0.000    0.000    0.006    0.000 /usr/lib/python3/dist-packages/idna/core.py:266(alabel)
      244    0.000    0.000    0.005    0.000 /usr/lib/python3/dist-packages/idna/core.py:291(ulabel)
      243    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      171    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/utils.py:42(<lambda>)
      136    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:1608(_raise_ssl_error)
      136    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_get_error}
      136    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:284(raise_if_problem)
      135    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:694(readable)
      134    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      134    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      134    0.001    0.000    0.644    0.005 /usr/lib/python3/dist-packages/OpenSSL/SSL.py:1795(recv_into)
      134    0.641    0.005    0.641    0.005 {built-in method _openssl.SSL_read}
      134    0.000    0.000    0.000    0.000 {built-in method allocator}
      134    0.000    0.000    0.645    0.005 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:311(recv_into)
      134    0.001    0.000    0.645    0.005 /usr/lib/python3.8/socket.py:655(readinto)
      127    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:604(_linkage_fixer)
      116    0.000    0.000    0.002    0.000 /usr/lib/python3.8/_markupbase.py:168(parse_comment)
      116    0.000    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:251(handle_comment)
      109    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/bindings/openssl/binding.py:55(_openssl_assert)
      109    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/backend.py:130(openssl_assert)
   108/91    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
   108/91    0.000    0.000    0.000    0.000 /usr/lib/python3.8/abc.py:100(__subclasscheck__)
       92    0.000    0.000    0.000    0.000 /usr/lib/python3.8/types.py:171(__get__)
       86    0.001    0.000    0.150    0.002 {method 'join' of 'bytes' objects}
       84    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       80    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:664(value)
       79    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:87(_decode_general_name)
       79    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:755(_asn1_string_to_bytes)
       79    0.000    0.000    0.001    0.000 /usr/lib/python3.8/re.py:250(compile)
       79    0.000    0.000    0.001    0.000 /usr/lib/python3.8/re.py:289(_compile)
       78    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
       78    0.000    0.000    0.001    0.000 /usr/lib/python3.8/html/parser.py:123(set_cdata_mode)
       78    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1456(__eq__)
       77    0.000    0.000    0.000    0.000 {built-in method _openssl.sk_GENERAL_NAME_value}
       77    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/extensions.py:1217(<genexpr>)
       77    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/extensions.py:1219(<genexpr>)
       76    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/extensions.py:1204(<genexpr>)
       75    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
       75    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/idna/core.py:60(valid_string_length)
       75    0.000    0.000    0.006    0.000 /usr/lib/python3/dist-packages/idna/core.py:340(encode)
       75    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/general_name.py:152(_init_without_validation)
       75    0.000    0.000    0.006    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:179(idna_encode)
       75    0.000    0.000    0.007    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:165(_dnsname_to_stdlib)
       73    0.000    0.000    0.003    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:104(handle_startendtag)
       50    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:164(__getitem__)
       48    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       43    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_get_cipher_list}
       42    0.000    0.000    0.000    0.000 {method 'string' of 'CompiledFFI' objects}
       42    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/OpenSSL/_util.py:72(native)
       41    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
       40    0.000    0.000    0.140    0.003 {method 'read' of '_io.BufferedReader' objects}
       39    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:99(_noop)
       39    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:110(_coerce_args)
       38    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       37    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       37    0.000    0.000    0.140    0.004 /usr/lib/python3.8/http/client.py:605(_safe_read)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:254(get)
       35    0.000    0.000    0.506    0.014 {method 'readline' of '_io.BufferedReader' objects}
       34    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       33    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       31    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/_oid.py:43(__eq__)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       30    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       30    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/_oid.py:58(__hash__)
       30    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:347(_last_descendant)
       29    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/requests/structures.py:46(__setitem__)
       29    0.000    0.000    0.000    0.000 /usr/lib/python3.8/html/__init__.py:91(_replace_charref)
       28    0.000    0.000    0.000    0.000 /usr/lib/python3.8/collections/__init__.py:554(__missing__)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
       27    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/utils.py:51(_has_surrogates)
       26    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/_policybase.py:281(_sanitize_header)
       26    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/_policybase.py:311(header_fetch_parse)
       26    0.001    0.000    0.013    0.001 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:738(_find_all)
       26    0.000    0.000    0.014    0.001 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1767(find_all)
       26    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1905(__init__)
       26    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:2162(__init__)
       25    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/requests/structures.py:58(<genexpr>)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/requests/structures.py:51(__getitem__)
       24    0.001    0.000    0.008    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:79(decompress)
       24    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:677(_update_chunk_length)
       24    0.000    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1742(find)
       23    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       23    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
       23    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       23    0.000    0.000    0.149    0.006 /usr/lib/python3/dist-packages/requests/models.py:746(generate)
       23    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/util/queue.py:14(_qsize)
       23    0.000    0.000    0.008    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:379(_decode)
       23    0.000    0.000    0.149    0.006 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:543(stream)
       23    0.000    0.000    0.140    0.006 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:691(_handle_chunk)
       23    0.000    0.000    0.149    0.006 /home/se/.local/lib/python3.8/site-packages/urllib3/response.py:713(read_chunked)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:246(__enter__)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:249(__exit__)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:392(__subclasshook__)
       22    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       22    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:261(_is_owned)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/threading.py:341(notify)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:172(append)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:283(__call__)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:562(__new__)
       21    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       21    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/_collections.py:155(__getitem__)
       20    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       20    0.001    0.000    0.001    0.000 /usr/lib/python3.8/email/feedparser.py:78(readline)
       20    0.000    0.000    0.001    0.000 /usr/lib/python3.8/email/feedparser.py:128(__next__)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:417(urlsplit)
       18    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       18    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/_collections.py:186(__iter__)
       17    0.000    0.000    0.000    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
       17    0.000    0.000    0.000    0.000 {method 'gc' of 'CompiledFFI' objects}
       17    0.000    0.000    0.000    0.000 {method 'new' of 'CompiledFFI' objects}
       17    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/_collections.py:214(add)
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/message.py:479(set_raw)
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/_policybase.py:293(header_source_parse)
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:249(match)
       16    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       16    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       16    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       16    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:22(_obj2txt)
       16    0.000    0.000    0.000    0.000 {built-in method _openssl.OBJ_obj2txt}
       16    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/_oid.py:11(__init__)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.8/urllib/parse.py:366(urlparse)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:657(get)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       15    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       15    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:160(__len__)
       14    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       14    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/packages/six.py:959(ensure_text)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       12    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       12    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/util/timeout.py:109(_validate_timeout)
       12    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/util/url.py:417(ensure_type)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.8/queue.py:153(get)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:659(name)
       11    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       11    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       11    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       11    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
       11    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/util/queue.py:20(_get)
