         157938 function calls (157915 primitive calls) in 0.743 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1160    0.000    0.000    0.000    0.000 /usr/lib/python3.8/html/parser.py:127(clear_cdata_mode)
     1234    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_markupbase.py:40(getpos)
      101    0.000    0.000    0.000    0.000 /usr/lib/python3.8/gzip.py:85(read)
     1238    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      733    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1376(get)
      116    0.000    0.000    0.002    0.000 /usr/lib/python3.8/_markupbase.py:168(parse_comment)
      390    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:189(handle_data)
        6    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
      507    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:726(handle_data)
       27    0.000    0.000    0.005    0.000 /usr/lib/python3.8/http/client.py:513(_read_next_chunk_size)
      116    0.000    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:251(handle_comment)
     1314    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       79    0.000    0.000    0.001    0.000 /usr/lib/python3.8/re.py:289(_compile)
     1243    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       96    0.000    0.000    0.002    0.000 /usr/lib/python3.8/gzip.py:505(_add_read_data)
       78    0.000    0.000    0.001    0.000 /usr/lib/python3.8/html/parser.py:123(set_cdata_mode)
       52    0.000    0.000    0.217    0.004 /usr/lib/python3.8/http/client.py:605(_safe_read)
        1    0.000    0.000    0.223    0.223 /usr/lib/python3.8/http/client.py:567(_readall_chunked)
      135    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        1    0.000    0.000    0.050    0.050 /usr/lib/python3.8/ssl.py:983(_create)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       27    0.000    0.000    0.057    0.002 /usr/lib/python3.8/http/client.py:543(_get_chunk_left)
      135    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
       96    0.000    0.000    0.000    0.000 /usr/lib/python3.8/gzip.py:98(prepend)
      100    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
      136    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:694(readable)
      546    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       73    0.000    0.000    0.002    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/builder/_htmlparser.py:104(handle_startendtag)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      688    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       47    0.000    0.000    0.312    0.007 {method 'readline' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
      272    0.000    0.000    0.000    0.000 /usr/lib/python3.8/ssl.py:1078(_checkClosed)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/stringprep.py:2(<module>)
       27    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/feedparser.py:471(_parse_headers)
       78    0.000    0.000    0.000    0.000 /usr/lib/python3.8/types.py:171(__get__)
       26    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1905(__init__)
      7/3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
       29    0.000    0.000    0.000    0.000 /usr/lib/python3.8/html/__init__.py:91(_replace_charref)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/feedparser.py:218(_parsegen)
        1    0.000    0.000    0.636    0.636 /usr/lib/python3/dist-packages/httplib2/__init__.py:1521(_conn_request)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.8/http/client.py:204(parse_headers)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3/dist-packages/httplib2/__init__.py:447(_decompressContent)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/httplib2/__init__.py:2016(__init__)
       79    0.000    0.000    0.001    0.000 /usr/lib/python3.8/re.py:250(compile)
       12    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.096    0.096 /usr/lib/python3/dist-packages/httplib2/__init__.py:1270(connect)
        2    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/feedparser.py:78(readline)
       17    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/_policybase.py:293(header_source_parse)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:242(__repr__)
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/message.py:462(get)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/client.py:1055(putrequest)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/_policybase.py:281(_sanitize_header)
        1    0.000    0.000    0.079    0.079 /home/se/.local/lib/python3.8/site-packages/bs4/__init__.py:115(__init__)
    38/36    0.000    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:301(makefile)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/client.py:1211(putheader)
       26    0.000    0.000    0.014    0.001 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:1767(find_all)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:413(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/client.py:1257(_send_request)
        1    0.000    0.000    0.307    0.307 /usr/lib/python3.8/http/client.py:300(begin)
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:562(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.307    0.307 /usr/lib/python3.8/http/client.py:267(_read_status)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.643    0.643 /usr/lib/python3/dist-packages/httplib2/__init__.py:1723(request)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/ssl.py:486(_encode_hostname)
       19    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:283(__call__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/socket.py:219(__init__)
       26    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/bs4/element.py:2162(__init__)
        2    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/gzip.py:133(__init__)
